account,amount,symbol,memo
jongolson,"0,0001",INDEX,test1
jongolson,"0,0002",INDEX,test2
jongolson,"0,0003",INDEX,test3
jongolson,"0,0004",INDEX,test4
jongolson,"0,0005",INDEX,test5
jongolson,"0,0006",INDEX,test6
jongolson,"0,0007",INDEX,test7
jongolson,"0,0008",INDEX,test8
jongolson,"0,0009",INDEX,test9
jongolson,"0,001",INDEX,test10
jongolson,"0,0011",INDEX,test11
jongolson,"0,0012",INDEX,test12
jongolson,"0,0013",INDEX,test13
jongolson,"0,0014",INDEX,test14
jongolson,"0,0015",INDEX,test15
jongolson,"0,0016",INDEX,test16
jongolson,"0,0017",INDEX,test17
jongolson,"0,0018",INDEX,test18
jongolson,"0,0019",INDEX,test19
jongolson,"0,002",INDEX,test20
jongolson,"0,0021",INDEX,test21
jongolson,"0,0022",INDEX,test22
jongolson,"0,0023",INDEX,test23
jongolson,"0,0024",INDEX,test24
jongolson,"0,0025",INDEX,test25
jongolson,"0,0026",INDEX,test26
jongolson,"0,0027",INDEX,test27
jongolson,"0,0028",INDEX,test28
jongolson,"0,0029",INDEX,test29
jongolson,"0,003",INDEX,test30
jongolson,"0,0031",INDEX,test31
jongolson,"0,0032",INDEX,test32
jongolson,"0,0033",INDEX,test33
jongolson,"0,0034",INDEX,test34
